I_ID_UNIVLIST	대학코드	대학교명	대학교별명칭	지역코드	지역명	입학정원	취업률	평균 등록금(천원)	schlship	기숙사 수용률	수시 경쟁률	정시 경쟁률	설치 학과 개수	전형 개수
12536	0000028	창원대학교	창원대학교 [본교]		경남	1,754	53.9	3893707.7	2744913.3	25.1	5.3	3.75	55	29
12608	0000284	청운대학교	청운대학교 [본교]		충남	1,133	68.5	7281330.2	4271646.1	19	5.17	2.75	33	20
12680	0000261	청주교육대학교	청주교육대학교 [본교]		충북	286	67.9	3230000	1732684	38.2	9.31	2.59	1	13
12752	0000179	청주대학교	청주대학교 [본교]		충북	2,652	64.2	7619982	3439030.5	21	5.07	3.71	54	22
12824	0000246	초당대학교	초당대학교 [본교]		전남	717	74.8	6589522.6	3957473.5	33.2	3.41	0.84	20	12
12896	0000180	총신대학교	총신대학교 [본교]		서울	307	66.7	6913531.2	4248778.2	52.1	4.15	2.59	9	20
12968	0000181	추계예술대학교	추계예술대학교 [본교]		서울	250	48	8781092.7	3365739	14.4	14.81	7.7	12	14
13040	0000262	춘천교육대학교	춘천교육대학교 [본교]		강원	321	61.3	3185000	1865261.7	58.2	7.53	2.41	1	12
13112	0000029	충남대학교	충남대학교 [본교]		대전	3,584	61.1	4363274.7	2416869.5	23.5	9.89	4.99	93	32
13184	0000030	충북대학교	충북대학교 [본교]		충북	2,806	57	4272978.9	2807809.4	26.8	11.3	6.64	84	27
13256	0000184	칼빈대학교	칼빈대학교 [본교]		경기	90	87.8	7306611.1	3606147.6	38.4	1.33	0.5	4	15
13328	0000186	평택대학교	평택대학교 [본교]		경기	805	60.2	7522619.6	3333987.6	29.2	6.92	5.03	21	13
13400	0000188	포항공과대학교	포항공과대학교 [본교]		경북	320	74.1	5580000	5291121	100.1	7.06	0	2	5
13472	0000037	한경대학교	한경대학교 [본교]		경기	1,271	66.8	4051859.8	2696391.2	24.6	7.44	4.18	43	26
13544	0000247	한국공학대학교	한국공학대학교 [본교]		경기	1,380	70.5	8997115.9	3848327.6	37	6.05	6.67	26	22
13616	0000031	한국교원대학교	한국교원대학교 [본교]		충북	546	51.1	3181644.7	2203764.8	58.4	5.85	4.68	25	12
13688	0000034	한국교통대학교	한국교통대학교 [본교]		충북	1,911	62.5	4106442.4	2863232.5	26.2	6.04	3.67	52	28
13760	0000229	한국국제대학교	한국국제대학교 [본교]		경남	486	64.6	6415734.8	2792449.6	152.2	0.55	0.1	15	14
13832	0000189	한국기술교육대학교	한국기술교육대학교 [본교]		충남	836	84.7	4529842.1	3340695.8	80.7	6.17	4.63	10	14
13904	0000191	한국성서대학교	한국성서대학교 [본교]		서울	223	71.6	7088609.9	4356982	15.2	7.7	2.37	5	12
13976	0000192	한국외국어대학교	한국외국어대학교 [본교]		서울	3,377	65.2	7129957.7	2544681.1	18.1	15.09	6.64	73	15
14048	0000032	한국체육대학교	한국체육대학교 [본교]		서울	535	67.1	3859451.6	2894139.8	35.7	6.5	3.23	10	17
14120	0000182	한국침례신학대학교	한국침례신학대학교 [본교]		대전	204	53.1	5992930.5	5837360.6	25.6	0.96	0.29	4	15
14192	0000194	한국항공대학교	한국항공대학교 [본교]		경기	871	65.7	8466449.5	3344286.4	18.1	10.71	5.62	11	13
14264	0000033	한국해양대학교	한국해양대학교 [본교]		부산	1,372	69.9	3727210.5	2355401.9	40.1	3.87	5.62	32	19
14336	0000195	한남대학교	한남대학교 [본교]		대전	2,715	61.1	7184560.7	3566435	13.3	4.72	2.57	55	27
14408	0000196	한동대학교	한동대학교 [본교]		경북	729	69.9	7068567.9	3882213.9	66.8	3.48	4.02	1	20
14480	0000197	한라대학교	한라대학교 [본교]		강원	907	67.6	7024428	3685145.1	18.6	2.27	0.42	22	17
14552	0000198	한림대학교	한림대학교 [본교]		강원	1,771	63.6	7467559.2	3648409.8	33.2	3.83	4.57	29	25
14624	0000039	한밭대학교	한밭대학교 [본교]		대전	1,886	57.3	4449332.6	2716637.5	15.3	6.3	3.73	47	26
14696	0000199	한서대학교	한서대학교 [본교]		충남	1,549	70.6	7947078.2	3712327.2	28.4	5.42	2.05	38	23
14768	0000200	한성대학교	한성대학교 [본교]		서울	1,458	63.8	7731387.9	3591650.5	12.6	7.54	5.47	29	24
14840	0000201	한세대학교	한세대학교 [본교]		경기	566	68.3	8107268.6	3880239.3	14.1	10.31	7.77	20	30
14912	0000202	한신대학교	한신대학교 [본교]		경기	1,161	63	7190015.4	3285862.7	16.8	6.51	5.07	40	19
14984	0000203	한양대학교	한양대학교 [본교]		서울	2,906	73.8	8489626	3497468.5	11.1	27.08	4.91	68	35
15056	0000204	한양대학교(ERICA)	한양대학교(ERICA) [분교]		경기	1,910	67.3	8463700.5	3789473.1	27.1	19.68	5.92	47	32
15128	0000206	한일장신대학교	한일장신대학교 [본교]		전북	219	62.1	6329132.4	4856363.5	22	1.54	1.19	6	12
15200	0000207	협성대학교	협성대학교 [본교]		경기	1,004	60.5	7360468.1	3924965	11.2	5.49	4.35	25	24
15272	0000208	호남대학교	호남대학교 [본교]		광주	1,502	65.5	6541471.5	3376028	19.5	5.03	0.44	39	9
15344	0000209	호남신학대학교	호남신학대학교 [본교]		광주	119	48.8	6686101.4	4148083.8	36.1	0.82	0.47	3	9
15416	0000211	호서대학교	호서대학교 [본교]		충남	2,881	66.8	7724277.6	3494641.7	25.4	5.2	3.98	53	24
15488	0000282	호원대학교	호원대학교 [본교]		전북	1,072	74	6929052	4319986.3	38.8	8.32	6.49	26	25
15560	0000212	홍익대학교	홍익대학교 [본교]		서울	2,422	65.3	8315003.9	3918559.7	13.8	15.7	12.94	37	21
15632	0002949	홍익대학교	홍익대학교 [제2캠퍼스]		세종	1,304	63.6	8443408.1	4136888.8	23.7	6.06	6.51	17	19
15704	0000233	화성의과학대학교	화성의과학대학교 [본교]		경기	246	60	6986129.1	1540053.8	22.3	3.46	0.73	8	10
