대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0000100	33	0224019	인문사회계열	일본학과	21.56 : 1	6.46 : 1
0000100	44	0018412	인문사회계열	중어중문학과	23.22 : 1	6.06 : 1
0000100	19	0012430	인문사회계열	철학과	24.83 : 1	6 : 1
0000100	33	0015743	인문사회계열	사학과	27.67 : 1	6 : 1
0000100	35	0022663	자연과학계열	수학과	15.2 : 1	5.71 : 1
0000100	39	0021292	자연과학계열	화학과	17.86 : 1	5.47 : 1
0000102	40	0011765	인문사회계열	국어국문학전공	11.09 : 1	7 : 1
0000102	28	0018797	인문사회계열	문예창작전공	13.75 : 1	5.22 : 1
0000102	26	0014454	인문사회계열	국사학전공	7.36 : 1	4.5 : 1
0000102	64	0019659	인문사회계열	영어전공	6.95 : 1	7.15 : 1
0000102	48	U013164	인문사회계열	유러피언스터디즈전공	7.21 : 1	8 : 1
0000102	45	U013165	인문사회계열	일어일본학전공	6.62 : 1	6.06 : 1
0000102	53	U013166	인문사회계열	중어중국학전공	7.28 : 1	5.61 : 1
0000102	32	0011983	인문사회계열	사회복지학전공	9.7 : 1	8.5 : 1
0000102	46	0011009	인문사회계열	아동학전공	8.5 : 1	7.64 : 1
0000102	34	U013167	인문사회계열	문헌정보학전공	8.1 : 1	7.36 : 1
0000111	250	0216083	인문사회계열	어문학부	10.74 : 1	5.46 : 1
0000111	124	0216037	인문사회계열	인문학부	10.17 : 1	5.71 : 1
0000111	37	0016043	인문사회계열	문예창작학과	10.31 : 1	6.24 : 1
0000111	224	U013506	인문사회계열	미래사회인재학부	0 : 1	0 : 1
0000111	74	U013336	인문사회계열	청소년지도・아동학부	0 : 1	0 : 1
0000111	51	0005376	인문사회계열	디지털미디어학과	12.09 : 1	5.07 : 1
0000111	294	0216082	인문사회계열	경영대학	13.04 : 1	5.9 : 1
0000111	79	0012027	인문사회계열	법학과	8.89 : 1	5.32 : 1
0000111	97	U006036	인문사회계열	전공자유학부(인문)	7.08 : 1	7.3 : 1
0000111	51	0225045	인문사회계열	융합전공학부(인문)	7.68 : 1	6.77 : 1
0000116	38	0018821	인문사회계열	신학과	1.45 : 1	0 : 1
0000116	74	0236867	인문사회계열	영어영문학과	6.35 : 1	9 : 1
0000116	42	0232253	인문사회계열	항공관광외국어학부	9.41 : 1	7.88 : 1
0000116	32	0226700	인문사회계열	글로벌한국학과	6.64 : 1	6.88 : 1
0000116	66	0013247	인문사회계열	경영학과	8.63 : 1	9.7 : 1
0000116	38	0013211	인문사회계열	유아교육과	9.54 : 1	9.2 : 1
0000116	73	0226620	자연과학계열	간호학과	10.83 : 1	5.14 : 1
0000116	37	0009478	자연과학계열	약학과	20.44 : 1	43.29 : 1
0000116	44	0009906	자연과학계열	물리치료학과	14.21 : 1	4.92 : 1
0000116	36	0206973	인문사회계열	사회복지학과	9.71 : 1	8 : 1
0000117	35	0230088	인문사회계열	인문콘텐츠학부 역사콘텐츠전공	11.6 : 1	5.47 : 1
0000117	25	0230126	인문사회계열	인문콘텐츠학부 지적재산권전공	8.93 : 1	5.3 : 1
0000117	30	0230087	인문사회계열	인문콘텐츠학부 문헌정보학전공	11.44 : 1	5.75 : 1
0000117	27	0230120	인문사회계열	SW융합학부 한일문화콘텐츠전공	15.94 : 1	4.36 : 1
0000117	48	0220361	인문사회계열	공간환경학부	10.86 : 1	4.75 : 1
0000117	60	0232842	인문사회계열	행정학부	21.3 : 1	5.25 : 1
0000117	32	0014032	인문사회계열	가족복지학과	11.17 : 1	5.67 : 1
0000117	72	0223929	인문사회계열	경제금융학부	14.5 : 1	3.83 : 1
0000117	89	0223930	인문사회계열	경영학부	20.46 : 1	4.34 : 1
0000117	73	0223928	인문사회계열	글로벌경영학과	15.59 : 1	4.31 : 1
0000120	95	U012996	인문사회계열	인문학부	40.42 : 1	4.92 : 1
0000120	10	U012997	인문사회계열	국어국문학과	12.3 : 1	0 : 1
0000120	10	U013002	인문사회계열	사학과	13.8 : 1	0 : 1
0000120	10	U013004	인문사회계열	철학과	11.8 : 1	0 : 1
0000120	8	U013130	인문사회계열	종교학과	11.75 : 1	0 : 1
0000120	91	U013005	인문사회계열	영문학부	22.91 : 1	5.21 : 1
0000120	50	U013006	인문사회계열	유럽문화학과	13.35 : 1	5.29 : 1
0000120	36	U013007	인문사회계열	중국문화학과	11.15 : 1	5.53 : 1
0000120	67	U006139	인문사회계열	사회과학부	50 : 1	5.16 : 1
0000120	11	U013009	인문사회계열	사회학과	23.64 : 1	0 : 1
0000121	86	0232774	인문사회계열	글로벌비즈니스어학부	12.81 : 1	5.61 : 1
0000121	44	0232775	인문사회계열	광고홍보콘텐츠학과	20.38 : 1	6 : 1
0000121	43	0232768	인문사회계열	공공인재전공	12.17 : 1	5.24 : 1
0000121	21	0232769	인문사회계열	경찰행정전공	25.75 : 1	4.23 : 1
0000121	96	0018823	인문사회계열	경영학부	14.63 : 1	5.63 : 1
0000121	53	0016030	인문사회계열	아동학과	11.4 : 1	4.92 : 1
0000121	50	0015158	인문사회계열	군사학과	10.6 : 1	3.55 : 1
0000121	126	0000947	공학계열	소프트웨어학과	9.96 : 1	5.64 : 1
0000121	44	0115113	자연과학계열	금융정보공학과(이공대학)	9.17 : 1	3.91 : 1
0000121	44	U010173	공학계열	나노화학생명공학과	11.83 : 1	8.52 : 1
0000036	194	0001401	공학계열	기계시스템디자인공학과	12.29 : 1	4.75 : 1
0000036	179	0000874	공학계열	기계・자동차공학과	12.42 : 1	3.97 : 1
0000036	66	0001568	공학계열	안전공학과	9.26 : 1	4.54 : 1
0000036	80	0004260	공학계열	신소재공학과	18.26 : 1	4.24 : 1
0000036	120	0213312	공학계열	건설시스템공학과	10.69 : 1	4.2 : 1
0000036	77	0000719	공학계열	건축학부건축공학전공	10.64 : 1	3.62 : 1
0000036	44	U004798	공학계열	건축학부 건축학전공 (자연)	21.17 : 1	4.33 : 1
0000036	144	0117924	공학계열	전기정보공학과	13.88 : 1	4.71 : 1
0000036	90	U013142	공학계열	전자공학과	0 : 1	0 : 1
0000036	54	U013144	공학계열	스마트ICT융합공학과	0 : 1	0 : 1
0000255	396	0016051	인문사회계열	초등교육학과	4.58 : 1	2.1 : 1
0000098	18	0227905	인문사회계열	기독교신학전공	0.5 : 1	0.13 : 1
0000098	30	0227904	인문사회계열	사회복지전공	1.1 : 1	1.17 : 1
0000098	30	0227903	인문사회계열	글로벌휴먼경영전공	0.39 : 1	0.74 : 1
0000098	10	0227899	예체능계열	운동건강관리전공	0.4 : 1	1 : 1
0000098	20	0227902	예체능계열	무용전공	2.17 : 1	4.9 : 1
0000098	20	0227901	예체능계열	음악전공 (야)	0.8 : 1	0.25 : 1
0000098	8	0227898	예체능계열	뮤지컬전공 (야)	2 : 1	1.57 : 1
0000098	7	0227900	인문사회계열	상담심리전공 (야)	0.63 : 1	0 : 1
0000019	146	0117617	인문사회계열	인문계열	2.82 : 1	2.49 : 1
0000019	9	0011758	인문사회계열	국어국문학과	9.33 : 1	0 : 1
0000019	9	0016209	인문사회계열	중어중문학과	7.33 : 1	0 : 1
0000019	9	0014501	인문사회계열	영어영문학과	8.89 : 1	0 : 1
0000019	9	0015997	인문사회계열	불어불문학과	5.11 : 1	0 : 1
0000019	9	0015366	인문사회계열	독어독문학과	6.11 : 1	0 : 1
0000019	9	0013607	인문사회계열	노어노문학과	6.78 : 1	0 : 1
0000019	9	0018207	인문사회계열	서어서문학과	5.56 : 1	0 : 1
0000019	9	0014626	인문사회계열	언어학과	8.67 : 1	0 : 1
0000019	9	0016716	인문사회계열	아시아언어문명학부	8.44 : 1	0 : 1
0000040	80	0018236	인문사회계열	행정학과	11.93 : 1	4.11 : 1
0000040	44	0013663	인문사회계열	국제관계학과	22.41 : 1	4.19 : 1
0000040	91	0018541	인문사회계열	경제학부	12.32 : 1	4.07 : 1
0000040	41	0018430	인문사회계열	사회복지학과	20.15 : 1	4.45 : 1
0000040	68	0224815	인문사회계열	세무학과	8.11 : 1	3.67 : 1
0000040	213	0014775	인문사회계열	경영학부	12.68 : 1	4.21 : 1
0000040	38	0018239	인문사회계열	영어영문학과	17.65 : 1	5.17 : 1
0000040	28	0010424	인문사회계열	국어국문학과	11.21 : 1	5.08 : 1
0000040	26	0018083	인문사회계열	국사학과	15.15 : 1	4.64 : 1
0000040	26	0017954	인문사회계열	철학과	11.31 : 1	4.27 : 1
0000126	57	0011759	인문사회계열	국어국문학과	11.42 : 1	10.65 : 1
0000126	57	0010899	인문사회계열	영어영문학과	16.13 : 1	7.78 : 1
0000126	34	0019687	인문사회계열	불어불문학과	12.95 : 1	6.33 : 1
0000126	38	0018766	인문사회계열	독어독문학과	11.52 : 1	8.46 : 1
0000126	38	0011320	인문사회계열	중어중문학과	18.26 : 1	7.23 : 1
0000126	53	0013348	인문사회계열	일어일문학과	14.04 : 1	8.61 : 1
0000126	34	0018886	인문사회계열	사학과	12.25 : 1	6.75 : 1
0000126	32	0011538	인문사회계열	기독교학과	4.74 : 1	6.11 : 1
0000126	57	0012972	인문사회계열	경제학과	12 : 1	7.37 : 1
0000126	38	0012114	인문사회계열	문헌정보학과	13.96 : 1	7.07 : 1
0000205	21	0235441	인문사회계열	글로벌기독학부	0.94 : 1	1 : 1
0000205	40	0221362	인문사회계열	재활상담심리학과	3.59 : 1	2.19 : 1
0000205	41	0221363	인문사회계열	유아특수재활학과	3.44 : 1	2.86 : 1
0000205	35	0213387	인문사회계열	사회복지학과	6.75 : 1	5.5 : 1
0000205	25	0221345	인문사회계열	재활복지학과	5.8 : 1	2.29 : 1
